 Rajinikanth,"Once upon a time
Rajnikant used Tooth Powder to
Get strong teeth
Today that powder is known as
AMBUJA CEMENT."
 Rajinikanth,"Rajnikant Ne Vidya Balan Ko Cycle Pe Aage Bithaya
Vidya-Rajni Mujhe Dekh Ke Apka Khada Nhi Hota?
Rajnknt-pagli Ye Ladies Cycle Hai.
Pata Hai Tu Kis Pe Baiti Hai???"
 Rajinikanth,"Ek baar rajni sir k pass ek bhikhari aaya. Rajni sir ne use bhikh diya.
.
.
.
.
.
.
.
And than aaj hum us bhikhari ko BILL GATES k naam se jante hain....."
 Rajinikanth,"Santa-lal kila lal kyu h bhai..
banta-kyunki rajnikant ne pan ki pichkari mar di thi
Ab ye mat puchna ki tajmahal safed kyu h.."
 Rajinikanth,"Once Rajnikanth gave tips to a 12th Std CBSE
student..
.
.
.
.
.
.
.
.
.
.
.
.
.
.
Now he is called Sarthak Agarwal :p"
 Rajinikanth,"Nazar Main Neend Ki Hasrat LiyeChup Chap Bethen Hain bedil

Wo Hum Se Door Reh Ker BhiHamain Sone Nahi Dete."
 Rajinikanth,"Micheal Jackson didn't died by drugs ovr doze,
those wer rumours!!
.
He got major heart attack after seeing that he
cannot do the dance steps of Rajnikanth!!"
 Rajinikanth,"Ek baar Rajnikant ne ek chup chap baithe
Ladke ko kuch bolne ko
Kahaa,
.
.
.
.
.
.
.
.
Aaj hum use 'siddhu' ke naam Se jaante h."
 Rajinikanth,"Once Rajnikant Was Angry And He
Was Standing On A Beach Of Tamil
Nadu..
He Kicked A Stone In Water
Now The Stone Is Known As..
.
.
SRI LANKA"
 Rajinikanth,"R@hul: Mere Paas Paisa Hai, Bank
Balance Hai Aur Maa (S0niya) Hai
Tumhare Paas Kya Hai..?
.
M0di: Mere Paas, Mere Paas
Mere Paas Rajnikant Hai Pappu..!"
Quotes,How people treat others is a direct reflection of how they feel about themselves!
Quotes,Always put God in the driver's seat of your life because anything under his control will never be out of control!
Quotes,Selfie is the proof that smartphones and internet have made people so alone that they don't find a friend who can take a pic!
Quotes,"S = Sleeping
T = Talking with friends
U = Unlimited Geri
D = Day Dreaming and
Y = Yawning!"
